country,model,first_registration,mileage,fuel_type,price
a,glc 350,01-2019,99000,d,44900
a,glc 220,03-2023,48644,d,49800
a,glc 43 amg,06-2017,85000,b,44990
a,glc 300,04-2022,38851,3,55450
a,glc 300,08-2024,9500,3,80990
a,glc 300,07-2020,74800,2,39990
a,glc 220,11-2021,11589,d,49790
a,glc 300,04-2022,45000,2,48500
a,glc 200,02-2023,11856,2,57990
a,glc 300,03-2024,13026,3,62900
a,glc 63 amg,02-2018,69000,b,67990
a,glc 300,11-2022,32950,3,62750
a,glc 300,09-2022,11200,3,55890
a,glc 200,08-2022,31000,d,50900
a,glc 220,01-2023,28435,d,63900
a,glc 220,03-2024,2971,d,69900
a,glc 220,04-2023,6500,d,69990
a,glc 220,03-2024,13061,d,69900
a,glc 300,03-2024,9500,3,79990
i,glc 220,03-2021,120000,d,42000
i,glc 220,07-2023,14467,3,76800
i,glc 220,10-2020,57269,d,48800
i,glc 200,01-2021,75466,d,34500
i,glc 250,05-2017,100712,d,22999
i,glc 220,03-2024,25222,3,57500
i,glc 220,03-2023,43658,3,55500
i,glc 43 amg,11-2022,15055,b,59900
i,glc 250,01-2016,61487,d,24890
i,glc 250,11-2015,210000,d,18500
i,glc 220,11-2023,19550,3,58400
i,glc 220,09-2015,169000,d,20900
i,glc 300,12-2022,88415,3,48900
i,glc 200,03-2021,50395,d,35950
i,glc 300,11-2023,18000,3,69999
i,glc 300,05-2021,46431,3,48900
i,glc 220,09-2019,107890,d,28900
i,glc 300,11-2019,84750,d,42000
i,glc 200,09-2020,91957,d,36900
i,glc 300,07-2021,77816,3,35900
d,glc 250,06-2018,69634,b,26990
d,glc 200,04-2023,9104,b,53990
d,glc 220,03-2023,44500,d,55890
d,glc 300,11-2021,48011,2,41840
d,glc 300,10-2021,83470,3,34850
d,glc 300,12-2021,90456,3,39880
d,glc 300,05-2020,82500,d,44260
d,glc 300,12-2021,59700,2,39870
d,glc 300,10-2021,34614,b,39890
d,glc 300,08-2021,73725,2,38980
d,glc 250,05-2019,114114,d,31250
d,glc 300,08-2022,21200,b,47870
d,glc 300,08-2019,43823,d,38880
d,glc 300,10-2021,59987,d,48600
d,glc 63 amg,01-2023,13583,b,79700
d,glc 300,10-2020,49988,3,39450
d,glc 300,08-2020,130389,d,33880
d,glc 220,03-2018,144500,d,28900
d,glc 300,09-2020,40000,2,37249
d,glc 63 amg,02-2019,43000,b,57870
a,glc 220,06-2018,95800,d,33499
a,glc 400,01-2020,69600,d,59850
a,glc 220,03-2023,9930,d,59900
a,glc 220,02-2024,19631,d,68900
a,glc 300,04-2023,15400,3,64950
a,glc 220,10-2023,8000,d,78990
a,glc 300,09-2024,9500,3,80990
a,glc 300,08-2023,19169,3,72990
a,glc 220,10-2023,5660,d,62980
a,glc 300,02-2024,9873,3,78900
a,glc 220,08-2023,17080,d,60900
a,glc 220,09-2023,23855,d,72450
a,glc 300,12-2023,5311,2,69900
a,glc 220,10-2023,32000,d,67900
a,glc 300,08-2024,9500,3,81490
a,glc 300,05-2024,14287,3,71690
a,glc 220,10-2022,47221,d,58900
a,glc 300,04-2024,15900,3,69950
a,glc 220,12-2019,66976,d,47900
a,glc 220,10-2023,15300,d,63850
i,glc 220,08-2017,115000,d,23990
i,glc 300,01-2021,55457,2,36900
i,glc 200,11-2021,46000,d,36750
i,glc 220,01-2017,279000,d,17900
i,glc 200,01-2023,12828,2,64900
i,glc 220,02-2020,119273,d,35500
i,glc 250,03-2017,164819,d,24290
i,glc 220,04-2019,118052,d,29099
i,glc 220,11-2019,65695,d,37100
i,glc 220,06-2020,75692,d,30499
i,glc 220,10-2016,101146,d,23400
i,glc 63 amg,02-2020,95000,b,52900
i,glc 220,02-2020,78000,d,34900
i,glc 220,01-2016,142000,d,21990
i,glc 200,09-2020,57551,b,37500
i,glc 43 amg,08-2019,82456,b,42000
i,glc 220,05-2023,68800,d,49500
i,glc 300,11-2020,58010,2,32800
i,glc 220,01-2021,141024,d,33500
i,glc 300,05-2021,81333,2,32700
d,glc 220,03-2019,78000,d,37900
d,glc 220,08-2019,64677,d,37980
d,glc 300,11-2020,41500,2,37800
d,glc 220,10-2019,79098,d,39350
d,glc 220,10-2020,153805,d,33766
d,glc 300,08-2020,48800,2,35980
d,glc 300,09-2020,71250,3,36850
d,glc 300,08-2021,95828,d,36999
d,glc 300,11-2021,40090,3,42800
d,glc 43 amg,12-2017,120300,b,34770
d,glc 300,04-2020,151239,2,26950
d,glc 300,08-2021,74299,d,37990
d,glc 300,08-2020,35500,2,37700
d,glc 300,10-2020,121253,d,37850
d,glc 200,03-2022,29185,b,43990
d,glc 400,07-2023,28000,2,63890
d,glc 200,04-2021,30000,b,37950
d,glc 300,07-2021,50181,2,47840
d,glc 300,10-2020,38016,b,43350
